time,omega_R,omega_L,u,omega,x,y,psi
4.9103,0.9937,0.9063,0.095,0.021850000000000005,0.8293628389126839,0.8051218828097838,0.8306453875
5.0096,0.959,0.8725,0.09157500000000002,0.021624999999999978,0.8355645815413982,0.8122335905382452,0.8328150925000001
5.1117,0.9255,0.8399,0.08827000000000002,0.021400000000000002,0.8416917446200006,0.819299389974356,0.835023005
5.2101,0.8931,0.8085,0.08508,0.02115,0.8473651876282475,0.8258795839254318,0.837128765
5.3116,0.8618,0.7781,0.081995,0.020925,0.8529881401852204,0.8324372070930658,0.83927549
5.4116,0.8316,0.7488,0.07902,0.020699999999999996,0.858309708488426,0.8386787210605914,0.84136799
5.5121,0.8024,0.7206,0.07615000000000001,0.020449999999999992,0.8634471748645546,0.8447382011435254,0.8434483399999999
5.6106,0.7742,0.6934,0.07338,0.020199999999999996,0.8682839151967072,0.8504747631463289,0.8454626649999999
5.7109,0.747,0.6671,0.070705,0.019974999999999993,0.8730148335622039,0.8561165063778521,0.8474887249999998
5.8112,0.7208,0.6418,0.06813000000000001,0.019749999999999986,0.877558422653752,0.8615652043864018,0.8494922174999998
5.9111,0.6954,0.6175,0.065645,0.019474999999999992,0.8819048238929613,0.8668065692871958,0.8514652424999998
6.011,0.671,0.594,0.06325000000000001,0.019250000000000017,0.8860793735916408,0.871867943071132,0.8534107949999997
6.1098,0.6474,0.5713,0.06093500000000001,0.019024999999999986,0.8900443239004837,0.8767018433694943,0.8553126949999997
6.2106,0.6246,0.5495,0.05870500000000001,0.018775000000000014,0.8939287863481,0.8814636642907961,0.8572304149999997
6.3108,0.6026,0.5285,0.056555,0.018525000000000014,0.8976366833038021,0.8860339652165259,0.8591116699999998
6.4117,0.5814,0.5083,0.054485000000000006,0.018275000000000013,0.9012220468476155,0.8904772862234577,0.8609808424999997
6.5109,0.561,0.4888,0.05249000000000001,0.01805000000000001,0.9046068909414704,0.8946949596967109,0.8627937224999997
6.6099,0.5413,0.4701,0.050570000000000004,0.017799999999999996,0.9078505256317453,0.8987587611287655,0.8645806724999997
6.7101,0.5223,0.452,0.048715,0.017574999999999993,0.9110031785306858,0.9027296848060141,0.8663642324999997
