t,omega_R,omega_L,u,omega
9.3098,0.2077,0.1606,0.018414999999999997,0.011775
9.4124,0.2006,0.1542,0.017740000000000002,0.0116
9.5125,0.1937,0.1481,0.01709,0.0114
9.6106,0.187,0.1423,0.016465000000000004,0.011174999999999997
9.7103,0.1805,0.1366,0.015855,0.010974999999999999
9.8102,0.1743,0.1312,0.015275,0.010775
9.9113,0.1684,0.126,0.01472,0.010599999999999998
10.0102,0.1626,0.121,0.014179999999999998,0.010399999999999998
10.1149,0.157,0.1162,0.01366,0.0102
10.2141,0.1516,0.1115,0.013155,0.010025000000000003
10.3108,0.1464,0.1071,0.012675,0.009825
10.411,0.1414,0.1028,0.01221,0.009649999999999999
10.5107,0.1366,0.0987,0.011765000000000001,0.009475
10.6116,0.1319,0.0948,0.011335,0.009274999999999999
10.7101,0.1274,0.091,0.010920000000000001,0.009100000000000004
10.8108,0.123,0.0873,0.010515,0.008924999999999999
10.912,0.1188,0.0838,0.01013,0.00875
11.0103,0.1148,0.0805,0.009765000000000001,0.008575
11.1115,0.1109,0.0772,0.009405,0.008424999999999998
11.2101,0.1071,0.0741,0.00906,0.00825
11.3122,0.1035,0.0712,0.008735,0.008074999999999999
11.4107,0.0999,0.0683,0.00841,0.0079
11.5104,0.0965,0.0655,0.008100000000000001,0.007750000000000001
11.611,0.0933,0.0629,0.007810000000000001,0.007599999999999999
11.7124,0.0901,0.0604,0.0075250000000000004,0.007424999999999999
11.8107,0.087,0.0579,0.007245000000000001,0.0072749999999999985
11.9139,0.0841,0.0556,0.006985,0.007125
12.0107,0.0812,0.0533,0.006725000000000001,0.0069749999999999986
12.1104,0.0785,0.0512,0.006485000000000001,0.0068249999999999995
12.2114,0.0758,0.0491,0.0062450000000000006,0.006675000000000002
12.3104,0.0732,0.0471,0.006015,0.0065249999999999996
12.4108,0.0708,0.0452,0.0058,0.006400000000000001
12.5108,0.0684,0.0434,0.005590000000000001,0.006250000000000001
12.6106,0.066,0.0416,0.00538,0.006100000000000001
12.7108,0.0638,0.0399,0.0051849999999999995,0.005974999999999999
12.8101,0.0617,0.0383,0.005000000000000001,0.005849999999999998
12.9107,0.0596,0.0367,0.004815,0.005724999999999999
13.0102,0.0576,0.0352,0.00464,0.005599999999999999
13.1097,0.0556,0.0338,0.00447,0.00545
13.2102,0.0537,0.0324,0.004305,0.005325
13.3104,0.0519,0.0311,0.00415,0.005200000000000001
13.4104,0.0502,0.0298,0.004,0.0051
13.5116,0.0485,0.0286,0.0038550000000000004,0.004974999999999999
13.6104,0.0468,0.0274,0.00371,0.00485
13.7105,0.0453,0.0263,0.00358,0.00475
