t,omega_R,omega_L,u,omega,x,y,psi
4.5108,1.1447,1.0538,0.109925,0.0227249999999999,0.8017769292050474,0.7739420441029012,0.8216937749999996
4.6111,1.1051,1.015,0.106005,0.022525,0.8091181645888335,0.7821712220706885,0.8239730924999996
4.7108,1.0667,0.9775,0.10221,0.0222999999999999,0.816132792950041,0.7900796233333841,0.8262188349999996
4.8112,1.0296,0.9413,0.098545,0.022075,0.822922228841,0.7977776718613995,0.8284577549999996
4.9103,0.9937,0.9063,0.095,0.02185,0.8293628389126839,0.8051218828097835,0.8306453874999996
5.0096,0.959,0.8725,0.091575,0.0216249999999999,0.8355645815413982,0.8122335905382448,0.8328150924999996
5.1117,0.9255,0.8399,0.08827,0.0214,0.8416917446200006,0.8192993899743557,0.8350230049999996
5.2101,0.8931,0.8085,0.08508,0.02115,0.8473651876282475,0.8258795839254315,0.8371287649999996
5.3116,0.8618,0.7781,0.081995,0.020925,0.8529881401852204,0.8324372070930655,0.8392754899999996
5.4116,0.8316,0.7488,0.07902,0.0206999999999999,0.858309708488426,0.838678721060591,0.8413679899999995
5.5121,0.8024,0.7206,0.07615,0.0204499999999999,0.8634471748645546,0.844738201143525,0.8434483399999995
5.6106,0.7742,0.6934,0.07338,0.0201999999999999,0.8682839151967072,0.8504747631463285,0.8454626649999994
5.7109,0.747,0.6671,0.070705,0.0199749999999999,0.8730148335622039,0.8561165063778517,0.8474887249999994
5.8112,0.7208,0.6418,0.06813,0.0197499999999999,0.877558422653752,0.8615652043864015,0.8494922174999994
5.9111,0.6954,0.6175,0.065645,0.0194749999999999,0.8819048238929613,0.8668065692871955,0.8514652424999993
6.011,0.671,0.594,0.06325,0.01925,0.8860793735916408,0.8718679430711317,0.8534107949999993
6.1098,0.6474,0.5713,0.060935,0.0190249999999999,0.8900443239004837,0.876701843369494,0.8553126949999993
6.2106,0.6246,0.5495,0.058705,0.018775,0.8939287863481,0.8814636642907958,0.8572304149999993
6.3108,0.6026,0.5285,0.056555,0.018525,0.8976366833038021,0.8860339652165256,0.8591116699999993
6.4117,0.5814,0.5083,0.054485,0.018275,0.9012220468476155,0.8904772862234573,0.8609808424999993
6.5109,0.561,0.4888,0.05249,0.01805,0.9046068909414704,0.8946949596967105,0.8627937224999993
6.6099,0.5413,0.4701,0.05057,0.0177999999999999,0.9078505256317453,0.8987587611287652,0.8645806724999993
6.7101,0.5223,0.452,0.048715,0.0175749999999999,0.9110031785306858,0.9027296848060138,0.8663642324999993
6.8103,0.5039,0.4346,0.046925,0.017325,0.9140300916380644,0.9065631352105098,0.8681252474999993
6.9123,0.4862,0.4178,0.0452,0.0171,0.9169884557257187,0.9103298919638192,0.8698923974999994
7.0108,0.4692,0.4017,0.043545,0.016875,0.9197309905712321,0.9138411535334505,0.8715767474999994
7.1107,0.4527,0.3862,0.041945,0.016625,0.922401811026369,0.9172790167659606,0.8732625599999994
